time,AdrBalCnt
2009-01-03,0.0
2009-01-04,0.0
2009-01-05,0.0
2009-01-06,0.0
2009-01-07,0.0
2009-01-08,0.0
2009-01-09,19.0
2009-01-10,80.0
2009-01-11,174.0
2009-01-12,272.0
2009-01-13,395.0
2009-01-14,522.0
2009-01-15,647.0
2009-01-16,753.0
2009-01-17,862.0
2009-01-18,967.0
2009-01-19,1067.0
2009-01-20,1174.0
2009-01-21,1265.0
2009-01-22,1354.0
2009-01-23,1432.0
2009-01-24,1624.0
2009-01-25,1815.0
2009-01-26,1891.0
2009-01-27,1986.0
2009-01-28,2098.0
2009-01-29,2207.0
2009-01-30,2324.0
2009-01-31,2443.0
2009-02-01,2555.0
2009-02-02,2683.0
2009-02-03,2831.0
2009-02-04,2950.0
2009-02-05,3076.0
2009-02-06,3198.0
2009-02-07,3308.0
2009-02-08,3440.0
2009-02-09,3530.0
2009-02-10,3650.0
2009-02-11,3771.0
2009-02-12,3890.0
2009-02-13,4014.0
2009-02-14,4150.0
2009-02-15,4268.0
2009-02-16,4360.0
2009-02-17,4477.0
2009-02-18,4595.0
2009-02-19,4703.0
2009-02-20,4825.0
2009-02-21,4939.0
2009-02-22,5053.0
2009-02-23,5161.0
2009-02-24,5267.0
2009-02-25,5372.0
2009-02-26,5479.0
2009-02-27,5558.0
2009-02-28,5650.0
2009-03-01,5755.0
2009-03-02,5863.0
2009-03-03,5960.0
2009-03-04,6040.0
2009-03-05,6144.0
2009-03-06,6261.0
2009-03-07,6370.0
2009-03-08,6461.0
2009-03-09,6569.0
2009-03-10,6676.0
2009-03-11,6790.0
2009-03-12,6906.0
2009-03-13,7006.0
2009-03-14,7116.0
2009-03-15,7239.0
2009-03-16,7312.0
2009-03-17,7426.0
2009-03-18,7526.0
2009-03-19,7648.0
2009-03-20,7754.0
2009-03-21,7804.0
2009-03-22,7912.0
2009-03-23,8042.0
2009-03-24,8147.0
2009-03-25,8264.0
2009-03-26,8353.0
2009-03-27,8459.0
2009-03-28,8558.0
2009-03-29,8674.0
2009-03-30,8794.0
2009-03-31,8872.0
2009-04-01,8986.0
2009-04-02,9101.0
2009-04-03,9217.0
2009-04-04,9330.0
2009-04-05,9443.0
2009-04-06,9552.0
2009-04-07,9652.0
2009-04-08,9757.0
2009-04-09,9856.0
2009-04-10,9964.0
2009-04-11,10078.0
2009-04-12,10189.0
2009-04-13,10305.0
2009-04-14,10429.0
2009-04-15,10542.0
2009-04-16,10665.0
2009-04-17,10777.0
2009-04-18,10903.0
2009-04-19,11014.0
2009-04-20,11019.0
2009-04-21,11143.0
2009-04-22,11264.0
2009-04-23,11339.0
2009-04-24,11454.0
2009-04-25,11572.0
2009-04-26,11669.0
2009-04-27,11773.0
2009-04-28,11890.0
2009-04-29,11998.0
2009-04-30,12129.0
2009-05-01,12250.0
2009-05-02,12365.0
2009-05-03,12472.0
2009-05-04,12570.0
2009-05-05,12695.0
2009-05-06,12830.0
2009-05-07,12952.0
2009-05-08,13059.0
2009-05-09,13137.0
2009-05-10,13222.0
2009-05-11,13342.0
2009-05-12,13472.0
2009-05-13,13584.0
2009-05-14,13722.0
2009-05-15,13848.0
2009-05-16,13967.0
2009-05-17,14094.0
2009-05-18,14212.0
2009-05-19,14298.0
2009-05-20,14418.0
2009-05-21,14500.0
2009-05-22,14561.0
2009-05-23,14593.0
2009-05-24,14693.0
2009-05-25,14802.0
2009-05-26,14927.0
2009-05-27,15046.0
2009-05-28,15141.0
2009-05-29,15187.0
2009-05-30,15296.0
2009-05-31,15392.0
2009-06-01,15464.0
2009-06-02,15575.0
2009-06-03,15646.0
2009-06-04,15712.0
2009-06-05,15742.0
2009-06-06,15770.0
2009-06-07,15786.0
2009-06-08,15868.0
2009-06-09,15959.0
2009-06-10,16041.0
2009-06-11,16130.0
2009-06-12,16216.0
2009-06-13,16294.0
2009-06-14,16366.0
2009-06-15,16450.0
2009-06-16,16521.0
2009-06-17,16600.0
2009-06-18,16680.0
2009-06-19,16767.0
2009-06-20,16845.0
2009-06-21,16926.0
2009-06-22,16942.0
2009-06-23,17018.0
2009-06-24,17112.0
2009-06-25,17160.0
2009-06-26,17250.0
2009-06-27,17334.0
2009-06-28,17381.0
2009-06-29,17462.0
2009-06-30,17547.0
2009-07-01,17619.0
2009-07-02,17703.0
2009-07-03,17785.0
2009-07-04,17874.0
2009-07-05,17953.0
2009-07-06,18037.0
2009-07-07,18106.0
2009-07-08,18180.0
2009-07-09,18266.0
2009-07-10,18347.0
2009-07-11,18430.0
2009-07-12,18507.0
2009-07-13,18585.0
2009-07-14,18654.0
2009-07-15,18699.0
2009-07-16,18770.0
2009-07-17,18817.0
2009-07-18,18821.0
2009-07-19,18891.0
2009-07-20,18841.0
2009-07-21,18923.0
2009-07-22,18983.0
2009-07-23,19059.0
2009-07-24,19132.0
2009-07-25,19164.0
2009-07-26,19185.0
2009-07-27,19259.0
2009-07-28,19300.0
2009-07-29,19318.0
2009-07-30,19334.0
2009-07-31,19351.0
2009-08-01,19379.0
2009-08-02,19402.0
2009-08-03,19414.0
2009-08-04,19495.0
2009-08-05,19582.0
2009-08-06,19672.0
2009-08-07,19642.0
2009-08-08,19722.0
2009-08-09,19823.0
2009-08-10,19898.0
2009-08-11,19968.0
2009-08-12,20031.0
2009-08-13,20116.0
2009-08-14,20179.0
2009-08-15,20205.0
2009-08-16,20224.0
2009-08-17,20241.0
2009-08-18,20251.0
2009-08-19,20269.0
2009-08-20,20291.0
2009-08-21,20305.0
2009-08-22,20312.0
2009-08-23,20327.0
2009-08-24,20342.0
2009-08-25,20392.0
2009-08-26,20395.0
2009-08-27,20424.0
2009-08-28,20499.0
2009-08-29,20577.0
2009-08-30,20673.0
2009-08-31,20753.0
2009-09-01,20831.0
2009-09-02,20897.0
2009-09-03,20944.0
2009-09-04,21008.0
2009-09-05,21084.0
2009-09-06,21152.0
2009-09-07,21217.0
2009-09-08,21286.0
2009-09-09,21340.0
